"id","title","len","cite_arXiv","cite_av_media","cite_book","cite_comic","cite_conference","cite_encyclopedia","cite_episode","Cite_govtrack","cite_journal","cite_magazine","cite_press_release","cite_web","links","tables","files","math","class"
2449475,"Davis College (New York)",6029,0,0,0,0,0,0,0,0,0,0,0,3,36,0,5,0,"3"
2457818,"Royce'",8320,0,0,0,0,0,0,0,0,0,0,0,0,91,0,2,0,"0"
2465976,"Micro Power",9938,0,0,0,0,0,0,0,0,0,0,0,6,91,0,2,0,"0"
2483077,"San Sebastián University",5291,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,"3"
2493178,"Emprise Bank",4907,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,"0"
2502838,"Edris Rice-Wray Carson",8625,0,0,8,0,0,0,0,0,0,0,0,4,55,0,4,0,"2"
2509129,"Rubio's Coastal Grill",4234,0,0,0,0,0,0,0,0,0,1,0,0,33,0,2,0,"0"
2513258,"Laurier LaPierre",6673,0,0,0,0,0,0,0,0,0,0,0,2,61,0,0,0,"1"
2514319,"Soap (shoes)",7723,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,"0"
2521673,"Nedbank",8432,0,0,0,0,0,0,0,0,0,0,0,1,64,1,2,0,"0"
2523121,"Mammoth Mart",2241,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,"0"
2529846,"Tayto (Northern Ireland)",3953,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,"0"
2534233,"Mercury Interactive",13589,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,"0"
2548328,"Dubai International Capital",10609,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,"0"
2549590,"Pilsner Urquell Brewery",12482,0,0,0,0,0,0,0,0,0,0,0,5,55,0,3,0,"0"
2556258,"Telekabel",1353,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,"0"
2558147,"Pontifical Xavierian University",19669,0,0,0,0,0,0,0,0,0,0,0,0,88,0,7,0,"3"
2561653,"Date Tsunamune",3082,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0,"1"
2563123,"Highmark",5614,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1,0,"0"
2565835,"DQE",3520,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,"0"
2576366,"Kleinwort Benson",6751,0,0,2,0,0,0,0,0,0,0,0,2,43,0,1,0,"0"
2578945,"Peter Levene, Baron Levene of Portsoken",8249,0,0,0,0,0,0,0,0,0,0,0,2,74,0,0,0,"1"
2583970,"PotashCorp",11926,0,0,0,0,0,0,0,0,0,0,0,3,58,0,0,0,"0"
2588118,"Petrocaribe",7303,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,"0"
2588455,"ResMed",4327,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,"0"
2589983,"Discount Drug Mart",7454,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,"0"
2591084,"Eizo",4535,0,0,0,0,0,0,0,0,0,0,0,4,41,0,1,0,"0"
2604503,"Chiba Urban Monorail",6174,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,"0"
2610296,"Sanada Yukitaka",2177,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,"1"
2630480,"International Display Works",3739,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,"0"
2634154,"ITA Software",5561,0,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,"0"
2641222,"Namesco",12218,0,0,0,0,0,0,0,0,0,0,0,21,23,0,1,0,"0"
2646553,"Norman Moore (politician)",4864,0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,"1"
2676470,"ECosCentric",2099,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,"0"
2679128,"Quincy College",9407,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,"3"
2681711,"Blue Underground",1954,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,"0"
2687423,"European Society of Human Reproduction and Embryology",2669,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,"0"
2691905,"Best Products",9554,0,0,1,0,0,0,0,0,0,0,0,3,50,0,0,0,"0"
2697510,"Carlson Wagonlit Travel",3465,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,"0"
2699139,"Trophogen",3834,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,"0"
2704673,"Kongō Gumi",3817,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,"0"
2705161,"Edward Jones Investments",10636,0,0,0,0,0,0,0,0,0,0,0,10,46,0,1,0,"0"
2707351,"Siddhartha University",872,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,"3"
2714658,"Compass Minerals",7455,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,"0"
2725472,"Franciscus Sylvius",8359,0,0,3,0,0,0,0,0,1,0,0,0,66,0,2,0,"2"
2735907,"Edinburgh Business School",5199,0,0,0,0,0,0,0,0,1,0,0,0,24,0,2,0,"3"
2736230,"Crawford & Company",2781,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,"0"
2740062,"Staples Advantage",8840,0,0,0,0,0,0,0,0,1,0,0,3,40,0,0,0,"0"
2741545,"MarkLogic",23432,0,0,1,0,0,0,0,0,0,0,7,39,109,0,1,0,"0"
2744940,"ZyLAB Technologies",12970,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,"0"
2776793,"Rich's (discount store)",1711,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,"0"
2777604,"Harmony Gold (mining)",7901,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,"0"
2795656,"Reformed Presbyterian Theological Seminary",4374,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,"3"
2797179,"Hampton by Hilton",8470,0,0,1,0,0,0,0,0,0,0,0,12,30,0,1,0,"0"
2797422,"Millennium Pharmaceuticals",9453,0,0,0,0,0,0,0,0,0,0,0,2,46,1,0,0,"0"
2813973,"Pic 'N' Save",3272,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,"0"
2820552,"Yogi Tea",4293,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,"0"
2829289,"Henry Deane (engineer)",7944,0,0,1,0,0,0,0,0,0,0,0,2,68,0,1,0,"2"
2830683,"Pentalog",6847,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,"0"
